AGL Technology Questionnaire						
RFP Questionnaire ID	Functional Area	Question	Provide details to address AGL's questions	References	Response Definition	Customisation Definition
RES.035	Data Orchestration	What capabilities do you have for near-real-time orchestration capabilities & digital-twins?	Databricks provides three integrated capabilities for near-real-time orchestration and digital twins.  Structured Streaming with Real-Time Mode delivers 40-300ms p99 latency for event processing. Lakeflow Spark Declarative Pipelines enable event-driven data flows with stateful stream processing for de-duplication, anomaly detection, and smoothing. The Digital Twin Solution Accelerator combines Zerobus Ingest for direct telemetry ingestion, RDF-based twin modelling, and Lakebase (managed Postgres) for low-latency state serving.  The architecture ingests IoT and SCADA data from Azure Event Hubs, Kafka, or REST APIs into governed Delta Lake tables, applies transformations via Lakeflow Spark Declarative Pipelines, and syncs processed data to Lakebase for real-time dashboard queries while maintaining historical records for analytics. Databricks Apps provides the visualisation layer.  Lakeflow Jobs orchestrates end-to-end pipelines with 99.95% uptime (on Azure), file-arrival triggers, and table-update triggers (Public Preview) for event-driven execution. Unity Catalog provides unified governance, lineage, and auditing across the digital twin lifecycle.  Find attached a link to the new digital twin accelerator which demonstrates this pattern in production, using Zerobus to stream data through Lakeflow Spark Declarative Pipelines, then into serverless OLTP with real-time dashboards.  	References: July 2025 Release Notes - Real-time mode for Structured Streaming Real-time mode in Structured Streaming documentation How to Build Digital Twins for Operational Efficiency Announcing the General Availability of Databricks Lakeflow	Full	Yes
RES.036	Data Orchestration	How do you enable federated queries across OT systems (SCADA, historian databases) and IT systems for grid operations?	Databricks enables federated queries across AGL's OT and IT systems through three complementary patterns that support real-time grid operations while maintaining unified governance.  Lakehouse Federation provides read-only federated queries to operational databases including SQL Server, Oracle, PostgreSQL, and MySQL. Unity Catalog connections push queries down to source systems via JDBC, avoiding data duplication while maintaining unified governance and lineage across OT and IT sources. This supports querying operational data in place without moving it.  For historian data, AVEVA CONNECT integration delivers native access to OSI PI data through Delta Sharing with five-minute refresh intervals (AVEVA Connect limitation). This supports heterogeneous OT environments including IP21, PHD, and custom historians via AVEVA Adapters, preserving asset hierarchy metadata from PI AF for contextual analysis of AGL's generation assets and energy hubs.  SCADA telemetry ingestion uses Lakeflow Connect and Structured Streaming to process data from cloud storage and message buses such as Kafka and Event Hubs into Delta Lake tables with ACID guarantees and schema evolution. This enables real-time processing of grid telemetry for monitoring renewable generation and firming capacity.  Unity Catalog provides centralised governance across all federated sources with fine-grained access control, data lineage tracking, and auditing. This ensures consistent security policies across AGL's grid operations data, whether queried in place or ingested for real-time processing.  	References: Announcing General Availability of Lakehouse Federation What is Lakehouse Federation? What is query federation? Connect to data sources and external services	Full	Yes
RES.037	Data Lineage	Describe your approach for end-to-end lineage tracking across datasets, transformations, and ML models.	Databricks delivers comprehensive end-to-end lineage tracking through Unity Catalog, which automatically captures runtime data lineage across all datasets, transformations, and ML models without additional configuration.  Unity Catalog tracks lineage at both table and column levels across all languages (SQL, Python, R, Scala). It captures relationships between data assets and the notebooks, Lakeflow Jobs, and dashboards that created or consume them. This automated tracking supports AGL's regulatory compliance requirements and operational transparency across energy trading, customer analytics, and renewable asset management.  MLflow integration with Unity Catalog automatically tracks ML model lineage back to source datasets using mlflow.loginput. This records training data, feature transformations, and model outputs with full transparency for responsible AI practices.  Lineage is visualised in near real-time through Catalog Explorer and accessible programmatically via REST API and system tables (system.access.tablelineage and system.access.column_lineage) for impact analysis and compliance reporting. Lakeflow Spark Declarative Pipelines enhances lineage with automated pipeline visualisation, enabling AGL data teams to quickly assess downstream impacts of schema changes or data quality issues.  	References: View data lineage using Unity Catalog Best practices for data and AI governance Responsible AI with the Databricks Data Intelligence Platform Bring your own data lineage	Full	Yes
RES.038	Data Lineage	How do you ensure lineage accuracy during schema changes and data migrations?	Unity Catalog and Delta Lake maintain lineage accuracy throughout schema changes and migrations, critical for AGL's regulatory reporting and energy market operations.  Unity Catalog automatically captures table and column-level lineage in real-time across all queries. As schemas evolve through additions, modifications or type changes, lineage relationships persist without manual intervention. This ensures data provenance remains intact during platform migrations or market data schema updates.  Delta Lake stores schema versions as JSON within its transaction log, creating an immutable history that enables time travel queries and accurate lineage tracking. Schema evolution is supported through mergeSchema options for append operations and MERGE WITH SCHEMA EVOLUTION syntax, automatically adapting to new columns whilst preserving lineage.  Lakeflow Spark Declarative Pipelines extends this with automated schema inference and evolution for JSON and CSV sources, handling schema drift without manual intervention. For CICD-managed migrations, Delta Lake's versioned transaction log provides the consistency layer, whilst Unity Catalog system tables enable programmatic validation of lineage accuracy post-migration.  This architecture ensures AGL maintains complete audit trails for NEM reporting and regulatory compliance throughout data platform evolution.  	References: View data lineage using Unity Catalog Schema evolution in Databricks Lineage system tables reference Delta Lake update schema documentation	Full	Yes
RES.039	Data Lineage	What capabilities exist for lineage visualization and impact analysis?	Unity Catalog provides comprehensive lineage visualisation and impact analysis capabilities included with the platform at no additional licence cost.  The system automatically captures runtime data lineage at table and column levels across all queries, regardless of language. This tracking extends across tables, views, notebooks, jobs, dashboards, and Lakeflow Spark Declarative Pipelines, providing complete visibility into data flows and dependencies across all workspaces sharing a metastore.  Interactive lineage graphs in Catalog Explorer enable visual impact analysis, showing upstream sources and downstream consumers. This allows data teams to understand how changes to data assets affect dependent workloads and perform risk management for schema modifications.  Lineage data is accessible programmatically via REST APIs and Unity Catalog system tables for custom impact analysis, governance reporting, and integration with external tools.  The Bring Your Own Lineage capability allows integration of external lineage metadata from first-mile ETL sources and last-mile BI tools, providing end-to-end lineage visualisation across your entire data estate.  	References: May 2025 Release Notes View data lineage using Unity Catalog Bring your own data lineage Best practices for data and AI governance	Full	Yes
RES.040	Business Glossary & Data Taxonomy	How do you manage hierarchical taxonomies and synonyms for business terms?	Databricks manages hierarchical taxonomies and synonyms through two complementary approaches.  Unity Catalog Metric Views (Public Preview) provides production-grade semantic metadata management. Business terms can include synonyms, display names, format specifications and descriptions directly within metric definitions. This ensures consistent terminology across AI/BI Genie, dashboards and SQL queries. Hierarchical relationships are modelled through dimensions and measures using star or snowflake schemas, allowing flexible querying across business hierarchies with automatic optimisation.  For advanced taxonomy requirements, Ontos (a Databricks Labs community project) extends Unity Catalog with business glossary capabilities, hierarchical ontologies and semantic mapping between business concepts and technical data assets. As a Labs project, Ontos provides additional functionality for organisations requiring sophisticated taxonomy management, though it operates outside standard Databricks support.  Both approaches integrate with Unity Catalog governance, providing lineage tracking, access controls and audit visibility. For AGL, this supports consistent business terminology across energy trading, customer and network operations domains whilst maintaining regulatory compliance and enabling self-service analytics for business users.  The combination allows AGL to define business terms once and apply them consistently across the organisation's data and AI assets.  	References: Unity Catalog Metric Views Semantic Metadata in Metric Views Unity Catalog Business Semantics Ontos Business Glossary Column Synonyms in AI/BI Genie Business Term Mapping Example	Full	Yes
RES.041	Business Glossary & Data Taxonomy	Describe your workflow for glossary term approvals and governance.	AGL's data stewardship teams can govern glossary term approvals through Unity Catalog's ownership controls. Table and object owners manage all metadata modifications, including business glossary terms, column descriptions, and tags.  Only authorised principals with ownership or MODIFY privileges can update metadata, ensuring controlled governance aligned with AGL's data quality standards. A dedicated STEWARDSHIP permission is planned on the product roadmap to enable delegated metadata management without the ability to modify the data itself, allowing data stewards to update glossary terms, classifications, and business metadata without requiring full table ownership.  Access Requests provides self-service approval workflows for glossary terms and datasets. Users discover assets and request permissions, with administrators routing requests to email, Slack, Microsoft Teams, ServiceNow, or Jira. Approvers grant access through the UI or add requesters to authorised groups, maintaining oversight throughout the approval process.  All metadata changes are captured in Unity Catalog system tables, providing complete audit trails for compliance reporting. This traceability supports AGL's governance framework and regulatory requirements across the organisation's data estate. 	References: Unity Catalog ownership and privileges Access request destinations configuration Semantic metadata in metric views Access Requests announcement Databricks SQL release notes 2025 - Semantic metadata feature Best practices for data and AI governance ReaderLink business term mapping case study	Full	Yes
RES.042	Business Glossary & Data Taxonomy	How do you link glossary terms to physical and logical data assets?	Unity Catalog links glossary terms to data assets through three mechanisms, with a fourth in preview.  Table and column comments attach directly to physical assets and are queryable through information_schema views. These support AI-generated documentation and custom glossary terms that persist with the schema, enabling technical teams to maintain precise definitions alongside data structures.  Governed tags provide account-level business classifications with enforced consistency and inheritance. Tags applied at catalog or schema level automatically flow to child objects, supporting Attribute-Based Access Control policies. All tag assignments are captured in audit logs for compliance traceability.  Unity Catalog Metric Views enable semantic metadata including synonyms, display names, and format specifications defined centrally and applied consistently across dashboards, AI/BI, and SQL workloads without altering underlying tables. This separates business terminology from physical schema design.  The Domains feature will add logical grouping by business area such as Sales or Finance, supporting curated discovery experiences aligned with organisational operations rather than technical structure.  These capabilities ensure consistent terminology across AGL's data estate, enable business user discovery, and maintain full audit traceability of metadata changes.  	References: Databricks SQL release notes 2025 What's New in AI/BI - July 2025 Roundup Best practices for data and AI governance Revolutionizing Enterprise Data Analytics at ReaderLink	Full	Yes
RES.043	Data Catalog	Explain your approach for automated data discovery and cataloging across multi-cloud environments.	Unity Catalog provides automated data discovery across AWS, Azure, and GCP through a centralised metadata layer. The system maintains one metastore per region, capturing metadata, lineage, and audit logs automatically as data assets are created or modified.  AGL's existing Data Publishing and Unity Catalog design naturally supports hub-and-spoke discovery where each of the three data platforms (Customer Markets, Energy Markets and Development, Corporate) publishes certified data products to centralized catalogs within their regional Unity Catalog metastore, enabling cross-platform data discovery while maintaining domain ownership, data quality accountability, and access control governance aligned with AGL's FSA objectives.  Discovery operates through multiple interfaces. Catalog Explorer and global workspace search provide privilege-aware filtering, indexing table names, columns, descriptions, and tags. AI-powered semantic search enables business users to query metadata using natural language through Databricks Assistant, whilst technical users leverage metadata APIs for programmatic access.  Cross-cloud data governance (GA) enables direct access to data across cloud providers without migration. AGL teams can access AWS S3 data from Azure-based workspaces, supporting hybrid architectures without data duplication.  Automated lineage tracking maps data flow from source to consumption, surfacing quality signals including certification status and usage patterns. This visibility supports data product discovery across organisational boundaries.  For AGL, this approach directly supports the Business Intelligence value driver by enabling teams to discover relevant data products across the organisation whilst maintaining central governance oversight. Teams gain self-service access to certified data assets without compromising security or compliance requirements, accelerating insights that support the transition to a lower-emissions future.  	References: What is Unity Catalog Discover data Cross-cloud data governance GA announcement Unity Catalog updates at Data + AI Summit 2025 Databricks components and Unity Catalog capabilities Best practices for data and AI governance Best practices for interoperability and usability Building High-Quality and Trusted Data Products	Full	Yes
RES.044	Data Catalog	How do you support federated cataloging and search for distributed data assets?	Yes. Unity Catalog provides federated cataloging and search across distributed data assets through three complementary capabilities.  Lakehouse Federation (GA) enables unified governance and discovery across external databases including MySQL, PostgreSQL, Snowflake, SQL Server, AWS Glue, Hive Metastore, and Azure Synapse without data migration. This directly supports AGL's three-platform architecture spanning Customer Markets, Energy Markets and Development, and Corporate domains. Query federation pushes Unity Catalog queries to external systems via JDBC, while catalog federation accesses foreign tables in object storage with automatic metadata synchronisation and privilege-aware access.  Lakeflow Connect (GA for SQL Server) provides automated managed ingestion with built-in Change Data Capture for incremental replication from Azure SQL Database, AWS RDS SQL Server, and on-premises systems. Ingested tables are automatically catalogd with schema evolution and unified access controls.  Cross-region and cross-cloud data sharing uses Databricks-to-Databricks Delta Sharing to federate metadata across Unity Catalog metastores, creating shared catalogs that appear as native objects with local access control and lineage tracking. This supports AGL's hybrid AWS-Azure architecture including Kaluza billing data and Salesforce CRM integration.  Unified search operates through Catalog Explorer, global workspace search, and information_schema queries with consistent fine-grained access controls regardless of physical data location.  	References: What is Lakehouse Federation? Announcing General Availability of Hive Metastore and AWS Glue Federation in Unity Catalog Run federated queries on Salesforce Data 360 Best practices for data and AI governance	Full	Yes
RES.045	Data Catalog	What differentiates your catalog in terms of AI-driven recommendations?	Unity Catalog differentiates through platform-native AI capabilities requiring no additional licensing. AI/BI Genie enables business users to ask natural language questions and receive intelligent follow-up suggestions based on Unity Catalog metadata, usage patterns, and certified metrics. Databricks Assistant provides context-aware recommendations including /findTables for discovering relevant datasets and automated code optimisation. You also have the ability to prompt and add skills to the Databricks Assistant, enabling agentic   AI-generated documentation automatically enriches catalog metadata with table descriptions and column comments based on schema analysis. Semantic search surfaces relevant assets through intelligent understanding of relationships and business context, not keyword matching.  Critically, all AI-driven recommendations respect Unity Catalog governance automatically, enforcing row-level security, column masks, and access controls while maintaining complete audit trails. This enables AGL's data teams to deliver self-service analytics without compromising compliance or data protection requirements.  	References: October 2023 Release Notes Databricks SQL release notes 2025 AI/BI concepts What's new with Databricks Unity Catalog at Data + AI Summit 2025	Full	Yes
RES.046	Data Classification	How do you implement automated classification of sensitive data (PII, PCI, PHI)?	Databricks implements automated sensitive data classification through Unity Catalog Data Classification, an agentic AI system that scans, detects, and tags PII, PCI, and PHI across your data estate.  The system uses pattern recognition, metadata analysis, and large language models to identify 12+ sensitive data categories including credit cards, Social Security numbers, email addresses, phone numbers, driver licences, passports, bank accounts, and personal names. New tables and columns are scanned within 24 hours of creation.  Unity Catalog lineage enables initial comprehensive scans, then incremental rescanning of only changed data, reducing ongoing classification costs by up to 75 per cent. Classification results are logged to system tables for audit reporting.  catalog owners review high-confidence detections through an interactive UI, then enable automatic tagging to apply governed tags across all existing and future detections. These tags integrate with Attribute-Based Access Control policies to automatically mask or filter sensitive columns based on user permissions, supporting AGL's governed data access requirements across Customer Markets, Energy Markets, and Corporate platforms.  	References: Data Classification in Unity Catalog Find Sensitive Data at Scale with Data Classification Attribute-Based Access Control (ABAC) October 2025 Release Notes	Full	Yes
RES.047	Data Classification	Describe your integration strategy with DLP and compliance tools.	Databricks integrates with enterprise DLP programmes through three complementary layers that support AGL's data governance requirements across customer, operational, and environmental datasets.  Unity Catalog provides the governance foundation. Automated Data Classification (Public Preview) detects PII across tables, Attribute-Based Access Control enables dynamic row filtering and column masking, and comprehensive audit logs stream to SIEM platforms for centralised monitoring. System tables expose audit logs, access patterns, and data lineage as queryable Delta tables, enabling security teams to integrate Databricks into existing DLP workflows.  Network-level controls are configured through customer-managed VNets with Azure Firewall, Private Link endpoints, and Service Endpoint Policies that restrict data egress to authorised destinations. Workspace settings disable DBFS access and results downloads to prevent data leakage.  Microsoft Purview integration enables metadata scanning and classification synchronisation, allowing security teams to apply consistent DLP policies across Azure estates whilst Unity Catalog enforces operational access controls. The Compliance Security Profile supports regulatory frameworks including GDPR, HIPAA, and PCI-DSS, providing auditors expected visibility and enforcement capabilities.  	References: Data governance with Databricks Best practices for data and AI governance AI Architecture: Building Enterprise AI Systems with Governance Guiding principles for the lakehouse	Full	Yes
RES.048	Data Classification	How do you enforce classification policies dynamically during data movement?	Unity Catalog enforces classification policies dynamically at query time through Attribute-Based Access Control (ABAC). When users query any table, Unity Catalog evaluates classification tags and applies access controls and masking policies in real-time, maintaining consistent governance across transformation pipelines.  Data Classification (Public Preview) automatically detects and tags sensitive data in new tables and columns within 24 hours of creation. This continuous identification reduces manual tagging overhead while maintaining policy coverage as data transforms through bronze, silver, and gold layers.  For data movement scenarios, Unity Catalog's column-level lineage enables data stewards to trace sensitive data flows downstream and verify tag coverage systematically. Governed tags provide standardised vocabularies for consistent classification across all data assets, supporting AGL's governance requirements for customer data and operational intelligence.  Currently, classification tags require reapplication when data transforms between layers. However, Unity Catalog's query-time enforcement ensures policies remain active wherever tagged data resides, providing robust protection for sensitive information throughout complex transformation workflows.  This approach supports AGL's data governance needs while maintaining compliance with privacy requirements across the organisation's data platform.  	References: Data Classification on Databricks (AWS) Data Classification on Databricks (GCP) Unity Catalog ABAC on Azure Databricks	Full	Yes
RES.049	Data Lifecycle Management	Explain your policy-driven approach for data retention and archival.	Databricks delivers policy-driven data retention and archival through Delta Lake table properties integrated with Azure storage lifecycle management.  Delta Lake table properties control retention at the table level. The delta.deletedFileRetentionDuration property (default 7 days) determines how long deleted files remain available for time travel queries, supporting audit requirements and operational recovery. The delta.logRetentionDuration property independently controls metadata retention, allowing flexible governance policies.  For archival, Databricks integrates with ADLS Gen 2 lifecycle management to automatically tier data across Hot, Cool, Cold, and Archive storage based on access patterns. Delta Lake archival support synchronises through the delta.timeUntilArchived table property, allowing queries to skip archived files while maintaining metadata access. Queries fail early when archived data restoration is required, preventing unexpected delays.  Unity Catalog's UNDROP command provides 7-day recovery windows for accidentally dropped managed tables, supporting both compliance requirements and operational safety for AGL's data teams.  Predictive Optimisation automates VACUUM operations to remove stale data files based on configured retention settings, ensuring only active data remains in hot tiers while lifecycle policies transition historical data to lower-cost storage.  	References: Table properties reference Archival support in Azure Databricks Azure Storage lifecycle management Work with table history UNDROP TABLE command	Full	Yes
RES.050	Data Lifecycle Management	How do you enforce lifecycle policies across hybrid and multi-cloud environments?	Databricks integrates with native cloud lifecycle management rather than enforcing policies centrally. Each cloud provider manages lifecycle independently: AWS S3 Lifecycle, Azure ADLS Gen2 Lifecycle, and GCS Lifecycle policies configured at storage account or bucket level.  Delta Lake archival support (Public Preview) coordinates with these cloud-native policies through the delta.timeUntilArchived table property. Databricks automatically skips archived files during queries and fails early when archived data is required, ensuring predictable query performance as data transitions between hot, cool, and archive tiers.  Unity Catalog provides unified governance for metadata, access control, and audit logging across multi-cloud deployments while delegating storage lifecycle management to each cloud provider. This approach enables AGL to apply cost optimisation and retention strategies independently within each cloud tenant whilst maintaining consistent data governance and compliance controls across your hybrid infrastructure.  For AGL's multi-cloud strategy, this means configuring lifecycle policies separately within each environment, with Delta tables synchronised to respect those policies through table properties. This balances cost efficiency with operational flexibility as you scale renewable generation data and customer analytics across cloud platforms.  	References: Archive Delta tables - Azure Databricks Archive Delta tables - Databricks on AWS Announcing General Availability of Cross-Cloud Data Governance Azure Storage lifecycle management Interoperability and usability for the data lakehouse	Full	Yes
RES.051	Data Lifecycle Management	Describe your automated purging and audit capabilities for expired data.	Databricks automates data purging through Predictive Optimisation, which schedules VACUUM operations on Unity Catalog managed tables. This removes unreferenced data files including deleted rows, previous versions, and compacted files based on configurable retention periods from 7 to 90 days, aligning with AGL's regulatory requirements whilst reducing storage costs.  Audit capabilities support compliance through two mechanisms. First, the system.storage.predictiveoptimizationoperations_history table records every VACUUM operation with timestamps, bytes deleted, files removed, and compute costs. Second, Unity Catalog audit logs in system.access.audit capture all table deletions, VACUUM operations, and data access patterns with 365-day retention.  These audit trails provide complete forensic visibility into data access and deletion activities, supporting AGL's governance frameworks and regulatory reporting obligations. Predictive Optimisation ensures consistent policy enforcement across AGL's data estate without manual intervention, reducing operational overhead whilst maintaining compliance posture.  	References: Predictive optimization in Databricks Remove unused data files with VACUUM Predictive optimization operations history System tables reference Table properties reference Prepare your data for GDPR compliance Data governance with Databricks	Full	Yes
RES.052	Data Protection	How do you implement encryption at rest and in transit using industry standards?	Databricks implements AES-256 encryption for all data at rest across notebooks, workspace storage, managed disks, and query results. Customer-managed keys from Azure Key Vault provide workspace-level control over three encryption layers: managed services including notebooks and queries, DBFS root storage, and temporary compute storage. This envelope encryption approach gives AGL complete key lifecycle control through Azure Key Vault while maintaining dual-layer protection.  All data in transit uses TLS 1.2 or higher, with TLS 1.3 support available, for communications between users, control plane, compute plane, and Azure storage services. Inter-cluster traffic can optionally use AES-128 over TLS 1.3. Azure VNet encryption provides hardware-level protection for traffic within AGL's virtual networks.  The customer-managed key approach provides flexibility to meet evolving regulatory requirements through controlled key rotation and revocation, ensuring AGL maintains sovereignty over encryption keys while Databricks manages the underlying infrastructure.	References: July 2023 GCP Release Notes - Customer-managed keys October 2023 GCP Release Notes - CMK General Availability Customer-managed keys for encryption on AWS Azure Databricks Customer-Managed Keys	Full	Yes
RES.053	Data Protection	Describe your integration with enterprise key management systems.	Databricks integrates natively with Azure Key Vault, Azure Key Vault Managed HSM, and AWS KMS for customer-managed keys, enabling workspace-level encryption control across notebooks, storage, and compute resources.  Three CMK features are configurable: managed services encryption for notebooks, secrets, and Databricks SQL queries; DBFS root encryption for workspace storage accounts; and managed disk encryption for compute resources.  The integration uses envelope encryption architecture where your keys from Key Vault or KMS encrypt data encryption keys, which are then re-encrypted with Databricks-managed keys. This dual-layer approach ensures you retain complete control through key rotation, access policies, and RBAC permissions.  Configuration is straightforward through Azure Portal, Azure CLI, PowerShell, ARM templates, or AWS CloudFormation. You grant Key Vault Crypto Service Encryption User role to Databricks service principals for automated key operations.  Key lifecycle management supports automated rotation with zero downtime. Databricks detects new key versions and applies them to future encryption operations while maintaining backward compatibility with previously encrypted data.  	References: July 2023 GCP Release Notes - Customer-managed keys October 2023 GCP Release Notes - CMK General Availability Customer-managed keys for encryption on AWS Azure Databricks Customer-Managed Keys	Full	Yes
RES.054	Data Protection	What capabilities exist for field-level encryption for sensitive attributes?	Databricks provides native field-level encryption for protecting sensitive customer attributes through built-in cryptographic functions and Unity Catalog access controls.  The platform includes AES encryption functions (aes_encrypt and aes_decrypt) supporting 128, 192, and 256-bit keys with GCM mode for authenticated encryption. These integrate directly into SQL workflows, enabling encryption of customer identifiers, payment details, or vulnerability indicators at the column level.  Unity Catalog column masks deliver granular access control. Authorised users decrypt data transparently based on permissions, whilst direct key access remains restricted. This enforces least-privilege principles across analytical workloads.  Envelope encryption patterns using Data Encryption Keys (DEK) and Key Encryption Keys (KEK) enable key rotation without rewriting encrypted datasets. Integration with Azure Key Vault provides external key management and enhanced security controls.  Implementation involves configuring crypto functions within Unity Catalog schemas and defining column-level access policies. This approach protects customer data whilst maintaining analytical capabilities, supporting AGL's regulatory compliance requirements and data governance standards for customer information across the platform.  	References: Data security and encryption Row filters and column masks Access control in Unity Catalog	Full	Yes
RES.055	Data Audit & Monitoring	Explain your real-time audit logging architecture for all data operations.	Databricks delivers comprehensive real-time audit logging through Unity Catalog system tables and diagnostic log delivery, supporting AGL's data governance and compliance requirements.  Unity Catalog automatically captures all data operations including table access, metadata queries, permission changes, and data sharing activities. These logs are accessible via SQL queries across all workspaces. This provides AGL's data governance team with visibility for compliance monitoring and forensic analysis.  For integration with AGL's existing monitoring infrastructure, diagnostic logs deliver audit events in JSON format to Azure Event Hub, Azure Storage, or Log Analytics with typical 15-minute latency. Workspace administrators can enable verbose audit logging to capture granular command-level details including SQL query text and notebook cell execution for detailed compliance investigations.  System tables retain audit data for 365 days at both workspace and account levels. Real-time lineage tracking captures table-level and column-level data lineage across all operations, available in system.access.tablelineage and system.access.columnlineage tables for impact analysis and regulatory reporting.  This architecture requires metastore admin enablement of system tables, with optional verbose logging configuration per workspace based on AGL's compliance requirements.  	References: Best practices for data and AI governance Audit log reference Unity Catalog Governance in Action: Monitoring, Reporting, and Lineage	Full	Yes
RES.056	Data Audit & Monitoring	How do you integrate audit logs with SIEM tools for compliance?	Databricks provides three native patterns for SIEM integration that support AGL's compliance and operational requirements.  For Azure deployments, diagnostic logs stream to Azure Event Hub, Azure Storage, or Log Analytics with 15-minute latency. This captures workspace-level and account-level events including Unity Catalog data access operations in JSON format. Azure Sentinel integration supports real-time Event Hub ingestion, ADLS Gen2 batch export, and custom table ingestion via Log Analytics Workspace API.  The Databricks Add-on for Splunk enables bidirectional integration without custom code. Security analysts can run Databricks SQL queries from Splunk, execute notebooks from Splunk UI, and push enrichment results back to Splunk indexes via HTTP Event Collector. This maintains single-pane-of-glass operations for SOC teams.  System tables provide a cost-effective alternative where security teams query system.access.audit using SQL and export filtered results to external SIEM platforms. This enables 365-day free retention in Delta Lake while sending only critical events to expensive SIEM storage.  All patterns support AGL's compliance frameworks while optimising for operational efficiency and cost management.  	References: Configure audit log delivery - Azure Databricks Audit log system table reference - Azure Databricks Databricks Add-on for Splunk Cybersecurity Analytics and AI Solution Accelerator Best practices for data and AI governance - Azure Databricks Audit log reference - Databricks on AWS Securing the Grid: A Practical Guide to Cyber Analytics for Energy & Utilities	Full	Yes
RES.057	Data Audit & Monitoring	Describe your anomaly detection approach for access and usage patterns.	With configuration, Databricks can detect anomalies in access and usage patterns through the system.access.audit table, which captures all user activities and data access operations. Security teams build SQL-based detection queries to identify suspicious patterns including repeated failed logins, unusual access times, simultaneous remote sessions, privilege escalation attempts, high-volume data operations, and unauthorised permission changes. These queries integrate with Databricks SQL alerts for automated notifications.  For AGL's cross-cloud environment, the Databricks Add-on for Splunk enables bidirectional integration with your existing Splunk SIEM on AWS. Security teams run threat hunting queries from Splunk against Databricks security telemetry across both AWS and Azure deployments, whilst enriched alerts flow back to Splunk indexes via HTTP Event Collector. This approach minimises cross-cloud data movement and associated egress costs.  Advanced behavioural analytics leverage MLflow to build custom anomaly detection models combining time series analysis, clustering algorithms, and supervised learning. These models analyse unified security and operational telemetry to identify sophisticated threats including account takeover, lateral movement, and data exfiltration attempts at scale.  Enhanced Security Monitoring provides behavior-based file integrity monitoring and malware detection agents on classic compute that automatically flag suspicious host activity including unauthorized file changes, unexpected processes, and boundary violations with detailed forensic logs delivered to system.access.audit for investigation and automated response workflows.	References: Anomaly detection - Azure Databricks Evolving Your SIEM Detection Rules: A Journey from Simple to Sophisticated Audit log reference - Databricks on Google Cloud Training 10,000 Anomaly Detection Models on One Billion Records with Explainable Predictions	Full	Yes
RES.058	DevSecOps	How do you embed security scans and compliance checks into CI/CD pipelines?	Databricks embeds security and compliance checks into CI/CD pipelines through native integration with Azure DevOps, GitHub Actions, and Jenkins using Databricks Asset Bundles.  Asset Bundles define infrastructure as code with validation gates before deployment. Pipeline stages can include static code analysis using pylint with Databricks Labs plugin, secrets scanning through audit log analysis, unit and integration testing with pytest, and infrastructure validation via bundle validate commands. OAuth workload identity federation provides secure authentication without long-lived secrets across dev-staging-production environments.  Runtime security operates through biweekly maintenance updates covering operating system patches, Python library updates, Java security fixes, and Apache Spark bug fixes. Contractual SLAs ensure critical vulnerabilities are patched within 14 days, high severity within 30 days, and medium severity within 60 days from vendor patch availability. Clusters automatically use latest base images on restart.  The Security Analysis Tool continuously monitors workspace configurations against Databricks security best practices, detecting deprecated runtime versions, misconfigured access controls, and compliance drift. Enhanced Security Monitoring adds CIS Level 1 hardened images, behaviour-based malware monitoring, file integrity monitoring, and antivirus scanning with logs delivered to system.access.audit for SIEM integration supporting AGL's Splunk on AWS environment.  For HIPAA, PCI-DSS, or FedRAMP workloads, automatic cluster updates can be permanently enabled for continuous compliance.  	References: Best practices and recommended CI/CD workflows on Databricks Runtime maintenance updates Monitoring notebook command logs with static analysis tools GitHub Actions for Databricks CI/CD CI/CD with Jenkins on Databricks Databricks Pylint	Full	Yes
RES.059	DevSecOps	Describe your policy-as-code approach for data security.	Databricks implements policy-as-code through Unity Catalog, where all permissions are declarative SQL GRANT statements, Terraform resources, or REST API calls version-controlled in Git. This enables CI/CD promotion of security policies across environments with complete auditability through the system.access.audit table, recording user identity, timestamp, and modifications for compliance reporting.  Identity management integrates with Microsoft Entra ID through SCIM or Automatic Identity Management (GA), synchronising users, groups, and service principals in real-time. Group-based permissions automatically inherit to members, enabling centralised governance with least-privilege access aligned to organisational roles.  Attribute-Based Access Control (ABAC) policies in Public Preview provide high-leverage governance through tag-driven row filters and column masks. Administrators define policies once at catalog or schema level using governed tags that automatically inherit to all current and future tables.  Data Classification in Public Preview uses AI to automatically detect and tag sensitive data (credit cards, email addresses, phone numbers) within 24 hours for new tables. Classification tags automatically trigger ABAC policies, creating end-to-end automated workflow from detection to protection.  For AGL, this approach ensures consistent security enforcement across customer data, operational systems, and regulatory reporting as your data estate scales to support the lower-emissions future.  	References: Access control in Unity Catalog April 2025 Release Notes Data governance with Databricks Unity Catalog attribute-based access control (ABAC) Data Classification Automatic Identity Management	Full	Yes
